hood,middle,high,gsRating_high,parRating_high,name_high,gsRating_middle,parRating_middle,name_middle,gsRating,parRating,name
Maple Leaf,Eckstein Middle School,Nathan Hale High School,9,4,Nathan Hale High School,9,3,Eckstein Middle School,9,4,Sacajawea Elementary School
Maple Leaf,Eckstein Middle School,Nathan Hale High School,9,4,Nathan Hale High School,9,3,Eckstein Middle School,7,5,Olympic View Elementary School
Wedgwood,Eckstein Middle School,Nathan Hale High School,9,4,Nathan Hale High School,9,3,Eckstein Middle School,10,4,Wedgwood Elementary School
View Ridge,Eckstein Middle School,Roosevelt High School,9,4,Roosevelt High School,9,3,Eckstein Middle School,10,4,View Ridge Elementary School
Sand Point,Eckstein Middle School,Roosevelt High School,9,4,Roosevelt High School,9,3,Eckstein Middle School,6,5,Sand Point Elementary School
Roosevelt,Eckstein Middle School,Roosevelt High School,9,4,Roosevelt High School,9,3,Eckstein Middle School,9,4,Green Lake Elementary School
Ravenna,Eckstein Middle School,Roosevelt High School,9,4,Roosevelt High School,9,3,Eckstein Middle School,10,4,Bryant Elementary School
Bryant,Eckstein Middle School,Roosevelt High School,9,4,Roosevelt High School,9,3,Eckstein Middle School,10,4,Bryant Elementary School
Hawthorne Hills,Eckstein Middle School,Roosevelt High School,9,4,Roosevelt High School,9,3,Eckstein Middle School,6,5,Sand Point Elementary School
Windermere,Eckstein Middle School,Roosevelt High School,9,4,Roosevelt High School,9,3,Eckstein Middle School,6,5,Sand Point Elementary School
Laurelhurst,Eckstein Middle School,Roosevelt High School,9,4,Roosevelt High School,9,3,Eckstein Middle School,10,4,Laurelhurst Elementary School
University District,Eckstein Middle School,Roosevelt High School,9,4,Roosevelt High School,9,3,Eckstein Middle School,10,4,Laurelhurst Elementary School
Green Lake,Eckstein Middle School,Roosevelt High School,9,4,Roosevelt High School,9,3,Eckstein Middle School,9,5,Daniel Bagley Elementary School
